Part Number,	Item Name, 	Quantity, 	Location Room, 		Location Row,	Location Column, Location Shelf ,Barcode, 	Item Description,Stock Date,Unit Price,VAT Amount,Sale Price (Inc VAT),Total value (inc VAT),Supplier Id
,"w/m valve3/4"" tee",1,,,,,"w/m valve3/4"" tee",,24 November 2009,5.20,1.04,6.24,6.24,3
49002387,spider,1,,,,,49002387,,24 November 2009,30.65,4.60,35.25,35.25,4
41008852,door gasket,1,,,,,41008852,,24 November 2009,12.69,1.90,14.59,14.59,4
ppw356,ball valve kit,1,,,,,ppw356,,24 November 2009,0.76,0.13,0.89,0.89,5
ppw345,ball valve washer pin kit,1,,,,,ppw345,,24 November 2009,0.47,0.08,0.55,0.55,6
3518,bottom oven element,1,,,,,3518,,4 January 2010,6.09,1.07,7.16,7.16,7
hasj60,halolite dimmable transformer ,2,,,,,hasj60,,4 January 2010,2.40,0.42,2.82,5.64,100
cfc7323,flex cable,1,,,,,cfc7323,,7 June 2009,10.34,1.55,11.89,11.89,8
merc00113862,drum bearing rear t/d,1,,,,,merc00113862,,19 July 2009,3.26,0.49,3.75,3.75,100
dst3792260725,valve,1,,,,,dst3792260725,,19 July 2009,12.14,1.82,13.96,13.96,9
hvr91213918,valve,1,,,,,hvr91213918,,4 August 2009,29.83,4.47,34.3,34.3,10
1520512052,basket runner,2,,,,,1520512052,,4 August 2009,6.54,0.98,7.52,15.04,11
wel8150,wellco gls lamp 60w,5,,,,,wel8150,,16 October 2009,3.12,0.47,3.59,17.95,100
hpt1602390,interlock indesit,1,,,,,hpt1602390,,25 October 2009,4.19,0.63,4.82,4.82,4
sel4821,oil seal 30x52x10,1,,,,,sel4821,,5 May 2009,0.55,0.08,0.63,0.63,100
brg6204zzskf,beams ball race 62042,1,,,,,brg6204zzskf,,5 May 2009,4.74,0.71,5.45,5.45,100
hpt1601660,spring restraint rear,1,,,,,hpt1601660,,9 November 2009,1.42,0.21,1.63,1.63,100
hpt1601661,front restraint spring,1,,,,,hpt1601661,,17 November 2009,1.75,0.26,2.01,2.01,100
hpt1703666,drive belt 1860 9phe tum,1,,,,,hpt1703666,,23 November 2009,4.84,0.73,5.57,5.57,100
blt9198,belt drum polyvee 1894h7,1,,,,,blt9198,,29 November 2009,2.71,0.41,3.12,3.12,100
whl9126,basket wheel upper,4,,,,,whl9126,,15 December 2009,2.35,0.35,2.7,10.8,100
blt9105,drive belt el1860h7,1,,,,,blt9105,,15 December 2009,2.96,0.44,3.4,3.4,100
whl9268,basket wheel upper earl,4,,,,,whl9268,,15 December 2009,1.09,0.16,1.25,5,100
hpt1603910,carbon brush set fhp,1,,,,,hpt1603910,,12 January 2010,10.67,1.87,12.54,12.54,100
plm723,hose connector 17mmx21mm,1,,,,,plm723,,19 January 2010,0.55,0.10,0.65,0.65,100
plm90182,adaptor drain hose end,6,,,,,plm90182,,19 January 2010,0.98,0.17,1.15,6.9,100
hvr41018403,drain pump complete,1,,,,,hvr41018403,,19 January 2010,15.92,2.79,18.71,18.71,100
plm604,hose connector 17mmx17mm,1,,,,,plm604,,19 January 2010,0.44,0.08,0.52,0.52,100
val894,valve inlet solenoid sin,1,,,,,val894,,24 January 2010,1.86,0.33,2.19,2.19,100
val951,valve inlet solenoid dou,1,,,,,val951,,24 January 2010,3.89,0.68,4.57,4.57,100
hvr41026150,pressure switch 62L,1,,,,,hvr41026150,,27 January 2010,5.87,1.03,6.9,6.9,100
hvr66655729,hose switch pressure ldy,1,,,,,hvr66655729,,1 March 2010,3.28,0.57,3.85,3.85,100
cre1701583,thermostat cut out kit,2,,,,,cre1701583,,9 March 2010,8.13,1.42,9.55,19.1,100
mtr 807,motor spin mount rubber,3,,,,,mtr 807,,14 March 2010,2.56,0.45,3.01,9.03,100
dyn0292503,clutch assembly upr,1,,,,,dyn0292503,,29 March 2010,11.45,2.00,13.45,13.45,100
dyn0251401,clutch to motor drive,1,,,,,dyn0251401,,29 March 2010,2.24,0.39,2.63,2.63,100
ele5231,cutlery basket,1,,,,,ele5231,,5 April 2010,3.40,0.60,4.00,4,100
cbn2222,carbon brush motor,1,,,,,cbn2222,,25 April 2010,3.40,0.60,4.00,4,100
blt207,multi rib belt 1280j6el,1,,,,,blt207,,22 June 2010,2.91,0.51,3.42,3.42,100
